A12.5,A11,A10,A9.1,A9,A8.3,A5.6,A5,A3,N50,NBANK,NAUTO,NIT,NPHARMA,NMEDIA,NMETAL,NFMCG,NREALESTATE
,,,,,,,,GSPL,,,,,,,,,
,,,,,,,,KSCL,,,,,,,,,
,,,,,,,,MAHINDCIE,,,,,,,,,
,,,,,,,,M50,,,,,,,,,
,,,,,,,,M&MFIN,,,,,,,,,
,,,,,,,,LINCOLN,,,,,,,,,
,,,,,,,,LIBERTSHOE,,,,,,,,,
,,,,,,,,LALPATHLAB,,,,,,,,,
,,,,,,,,KTKBANK,,,,,,,,,
,,,,,,,,KOTAKNIFTY,,,,,,,,,
,,,,,,,,GUJALKALI,,,,,,,,,
,,,,,,,,KIRIINDUS,,,,,,,,,
,,,,,,,,KEI,,,,,,,,,
,,,,,,,,AARTIIND,,,,,,,,,
,,,,,,,,KARURVYSYA,,,,,,,,,
,,,,,,,,KANSAINER,,,,,,,,,
,,,,,,,,KALPATPOWR,,,,,,,,,
,,,,,,,,JYOTHYLAB,,,,,,,,,
,,,,,,,,MAHLOG,,,,,,,,,
,,,,,,,,MAHSEAMLES,,,,,,,,,
,,,,,,,,MAJESCO,,,,,,,,,
,,,,,,,,MANALIPETC,,,,,,,,,
,,,,,,,,NAUKRI,,,,,,,,,
,,,,,,,,NATCOPHARM,,,,,,,,,
,,,,,,,,MUNJALAU,,,,,,,,,
,,,,,,,,MUKANDLTD,,,,,,,,,
,,,,,,,,MRPL,,,,,,,,,
,,,,,,,,MPHASIS,,,,,,,,,
,,,,,,,,MOLDTKPAC,,,,,,,,,
,,,,,,,,MOIL,,,,,,,,,
,,,,,,,,MMTC,,,,,,,,,
,,,,,,,,MINDAIND,,,,,,,,,
,,,,,,,,MIDHANI,,,,,,,,,
,,,,,,,,MEGH,,,,,,,,,
,,,,,,,,MASTEK,,,,,,,,,
,,,,,,,,MASFIN,,,,,,,,,
,,,,,,,,MANINFRA,,,,,,,,,
,,,,,,,,JUBILANT,,,,,,,,,
,,,,,,,,JSWENERGY,,,,,,,,,
,,,,,,,,JSLHISAR,,,,,,,,,
,,,,,,,,IEX,,,,,,,,,
,,,,,,,,IDBI,,,,,,,,,
,,,,,,,,ICICINIFTY,,,,,,,,,
,,,,,,,,ICICIGI,,,,,,,,,
,,,,,,,,IBULHSGFIN,,,,,,,,,
,,,,,,,,HSIL,,,,,,,,,
,,,,,,,,HONAUT,,,,,,,,,
,,,,,,,,HINDCOPPER,,,,,,,,,
,,,,,,,,HIKAL,,,,,,,,,
,,,,,,,,HGS,,,,,,,,,
,,,,,,,,HEIDELBERG,,,,,,,,,
,,,,,,,,HDFCLIFE,,,,,,,,,
,,,,,,,,HDFCAMC,,,,,,,,,
,,,,,,,,HBLPOWER,,,,,,,,,
,,,,,,,,GUJGASLTD,,,,,,,,,
,,,,,,,,GUJFLUORO,,,,,,,,,
,,,,,,,,IDFC,,,,,,,,,
,,,,,,,,IFCI,,,,,,,,,
,,,,,,,,JMFINANCIL,,,,,,,,,
,,,,,,,,INDHOTEL,,,,,,,,,
,,,,,,,,JKTYRE,,,,,,,,,
,,,,,,,,JKPAPER,,,,,,,,,
,,,,,,,,JKCEMENT,,,,,,,,,
,,,,,,,,JAYSREETEA,,,,,,,,,
,,,,,,,,JAMNAAUTO,,,,,,,,,
,,,,,,,,JAICORPLTD,,,,,,,,,
,,,,,,,,IRB,,,,,,,,,
,,,,,,,,IPCALAB,,,,,,,,,
,,,,,,,,IOB,,,,,,,,,
,,,,,,,,INTELLECT,,,,,,,,,
,,,,,,,,INOXLEISUR,,,,,,,,,
,,,,,,,,INFIBEAM,,,,,,,,,
,,,,,,,,INDIGO,,,,,,,,,
,,,,,,,,INDIANB,,,,,,,,,
,,,,,,,,INDIACEM,,,,,,,,,
,,,,,,,,ZEEL,,,,,,,,,
